20
15 0
0e 2o 0e 0o 0o 
o o o o o o o o o * o * o * * o o o o *
o o o o o o o o o o o o * * * * * o o *
o o o o o * o o o o o o o * x o o o o *
o o o * o o o o * o o o o o o * o o o o
o * o o o o o o o * o o o o o o o * o o
o o o o o o o * o o o o o o o o o o o o
o * * o o o o o o o o * o o o o o * * o
o o o * o * o * o * o o o o o * * o o o
o o * o o o * o * o o * o o o o * o * o
o o * * o o o o o * o o o o o o o o o o
o o o o o o o * o * * o o o o o o o o o
o o * o o o o o o o o o * o o o o * o o
* * o o o o o o o o o o o o * o o o o o
o o o o o o o o o o o o o o o * o o o o
o o o o o o o * * o o o o o o o o o o o
o o * o * o o o o o o o o o * o * o o o
o o o o o o * o o o o o o o o * o o o o
o o o o o o o o o o * * o o o o o o o o
o * o o o o o o o * o o o o o o o o o *
o o o o o o * o * o o o o o o * * o * o
